electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
547,112,0,0,Question 3: Universal Background Checks,No,,Aurora,Aurora,15,2,38,22,0.19,0.49,0.29
548,112,0,0,Question 3: Universal Background Checks,No,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
549,112,0,0,Question 3: Universal Background Checks,No,,Blue Hill,Blue Hill,902,81,624,676,0.4,0.27,0.3
550,112,0,0,Question 3: Universal Background Checks,No,,Brooklin,Brooklin,257,45,191,248,0.35,0.26,0.33
551,112,0,0,Question 3: Universal Background Checks,No,,Brooksville,Brooksville,291,45,220,241,0.37,0.28,0.3
552,112,0,0,Question 3: Universal Background Checks,No,,Bucksport,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
553,112,0,0,Question 3: Universal Background Checks,No,,Castine,Castine,307,48,316,375,0.29,0.3,0.36
554,112,0,0,Question 3: Universal Background Checks,No,,Cranberry Isles,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
555,112,0,0,Question 3: Universal Background Checks,No,,Dedham,Dedham,324,41,450,506,0.25,0.34,0.38
556,112,0,0,Question 3: Universal Background Checks,No,,Deer Isle,Deer Isle,574,62,416,644,0.34,0.25,0.38
557,112,0,0,Question 3: Universal Background Checks,No,,Eastbrook,Eastbrook,73,10,124,112,0.23,0.39,0.35
558,112,0,0,Question 3: Universal Background Checks,No,,Ellsworth,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
559,112,0,0,Question 3: Universal Background Checks,No,,Gouldsboro,Gouldsboro,369,81,515,541,0.25,0.34,0.36
560,112,0,0,Question 3: Universal Background Checks,No,,Great Pond,Great Pond,9,0,16,14,0.23,0.41,0.36
561,112,0,0,Question 3: Universal Background Checks,No,,Hancock,Hancock,407,62,676,582,0.24,0.39,0.34
562,112,0,0,Question 3: Universal Background Checks,No,,Lamoine,Lamoine,374,63,535,458,0.26,0.37,0.32
563,112,0,0,Question 3: Universal Background Checks,No,,Mariaville,Mariaville,76,18,113,148,0.21,0.32,0.42
564,112,0,0,Question 3: Universal Background Checks,No,,Mount Desert,Mount Desert,637,66,494,615,0.35,0.27,0.34
565,112,0,0,Question 3: Universal Background Checks,No,,Orland,Orland,446,72,415,648,0.28,0.26,0.41
566,112,0,0,Question 3: Universal Background Checks,No,,Osborn,Osborn,9,1,33,8,0.18,0.65,0.16
567,112,0,0,Question 3: Universal Background Checks,No,,Otis,Otis,131,29,218,193,0.23,0.38,0.34
568,112,0,0,Question 3: Universal Background Checks,No,,Penobscot,Penobscot,286,52,297,367,0.29,0.3,0.37
569,112,0,0,Question 3: Universal Background Checks,No,,Sedgwick,Sedgwick,342,57,238,336,0.35,0.24,0.35
570,112,0,0,Question 3: Universal Background Checks,No,,Sorrento,Sorrento,86,8,94,77,0.32,0.35,0.29
571,112,0,0,Question 3: Universal Background Checks,No,,Southwest Harbor,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
572,112,0,0,Question 3: Universal Background Checks,No,,Stonington,Stonington,285,37,169,410,0.32,0.19,0.46
573,112,0,0,Question 3: Universal Background Checks,No,,Sullivan,Sullivan,208,56,258,349,0.24,0.3,0.4
574,112,0,0,Question 3: Universal Background Checks,No,,Surry,Surry,378,64,433,368,0.3,0.35,0.3
575,112,0,0,Question 3: Universal Background Checks,No,,Swans Island,Swans Island,64,19,115,118,0.2,0.36,0.37
576,112,0,0,Question 3: Universal Background Checks,No,,Tremont,Tremont,64,19,115,118,0.2,0.36,0.37
577,112,0,0,Question 3: Universal Background Checks,No,,Trenton,Trenton,290,55,359,419,0.26,0.32,0.37
578,112,0,0,Question 3: Universal Background Checks,No,,Verona Island,Verona Island,136,14,141,134,0.32,0.33,0.32
579,112,0,0,Question 3: Universal Background Checks,No,,Waltham,Waltham,45,7,139,71,0.17,0.53,0.27
580,112,0,0,Question 3: Universal Background Checks,No,,Winter Harbor,Winter Harbor,96,14,171,149,0.22,0.4,0.35
581,113,0,0,Question 4: Minimum Wage Increase,Yes,,Amherst,Amherst,52,9,73,66,0.26,0,0
582,113,0,0,Question 4: Minimum Wage Increase,Yes,,Aurora,Aurora,15,2,38,22,0.19,0,0
583,113,0,0,Question 4: Minimum Wage Increase,Yes,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0,0
584,113,0,0,Question 4: Minimum Wage Increase,Yes,,Blue Hill,Blue Hill,902,81,624,676,0.4,0,0
585,113,0,0,Question 4: Minimum Wage Increase,Yes,,Brooklin,Brooklin,257,45,191,248,0.35,0,0
586,113,0,0,Question 4: Minimum Wage Increase,Yes,,Brooksville,Brooksville,291,45,220,241,0.37,0,0
587,113,0,0,Question 4: Minimum Wage Increase,Yes,,Bucksport,Bucksport,1047,71,1103,1531,0.28,0,0
588,113,0,0,Question 4: Minimum Wage Increase,Yes,,Castine,Castine,307,48,316,375,0.29,0,0
589,113,0,0,Question 4: Minimum Wage Increase,Yes,,Cranberry Isles,Cranberry Isles,70,5,42,77,0.36,0,0
590,113,0,0,Question 4: Minimum Wage Increase,Yes,,Dedham,Dedham,324,41,450,506,0.25,0,0
591,113,0,0,Question 4: Minimum Wage Increase,Yes,,Deer Isle,Deer Isle,574,62,416,644,0.34,0,0
592,113,0,0,Question 4: Minimum Wage Increase,Yes,,Eastbrook,Eastbrook,73,10,124,112,0.23,0,0
593,113,0,0,Question 4: Minimum Wage Increase,Yes,,Ellsworth,Ellsworth,1377,196,2075,1840,0.25,0,0
595,113,0,0,Question 4: Minimum Wage Increase,Yes,,Franklin,Franklin,249,49,375,340,0.25,0,0
596,113,0,0,Question 4: Minimum Wage Increase,Yes,,Frenchboro,Frenchboro,12,4,9,17,0.29,0,0
597,113,0,0,Question 4: Minimum Wage Increase,Yes,,Gouldsboro,Gouldsboro,369,81,515,541,0.25,0,0
598,113,0,0,Question 4: Minimum Wage Increase,Yes,,Great Pond,Great Pond,9,0,16,14,0.23,0,0
599,113,0,0,Question 4: Minimum Wage Increase,Yes,,Hancock,Hancock,407,62,676,582,0.24,0,0
600,113,0,0,Question 4: Minimum Wage Increase,Yes,,Lamoine,Lamoine,374,63,535,458,0.26,0,0
