electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Mount Desert,,637,66,494,615,0.35,0.27,0.34
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Osborn,,9,1,33,8,0.18,0.65,0.16
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Otis,,131,29,218,193,0.23,0.38,0.34
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Sedgwick,,342,57,238,336,0.35,0.24,0.35
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Sorrento,,86,8,94,77,0.32,0.35,0.29
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Southwest Harbor,,468,69,383,590,0.31,0.25,0.39
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Stonington,,285,37,169,410,0.32,0.19,0.46
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Surry,,378,64,433,368,0.3,0.35,0.3
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Swans Island,,64,19,115,118,0.2,0.36,0.37
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Tremont,,64,19,115,118,0.2,0.36,0.37
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Trenton,,290,55,359,419,0.26,0.32,0.37
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Waltham,,45,7,139,71,0.17,0.53,0.27
,22,0,0,State Senate District 7,Moira K. O&#039;Neil,D,Eastbrook,,73,10,124,112,0.23,0.39,0.35
,22,0,0,State Senate District 7,Brian D. Langley,R,Amherst,,52,9,73,66,0.26,0.37,0.33
,22,0,0,State Senate District 7,Brian D. Langley,R,Aurora,,15,2,38,22,0.19,0.49,0.29
