electionrecordid,raceorder,votes,reported,race,candidate,town,party,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,,,,Congress District 2 (R),Bruce Poliquin,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Congress District 2 (R),Bruce Poliquin,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Franklin,R,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Frenchboro,R,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Congress District 2 (R),Bruce Poliquin,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Hancock,R,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Lamoine,R,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Congress District 2 (R),Bruce Poliquin,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Congress District 2 (R),Bruce Poliquin,Mount Desert,R,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Orland,R,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Congress District 2 (R),Bruce Poliquin,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Congress District 2 (R),Bruce Poliquin,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Penobscot,R,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Sedgwick,R,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,Congress District 2 (R),Bruce Poliquin,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,Congress District 2 (R),Bruce Poliquin,Southwest Harbor,R,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,Congress District 2 (R),Bruce Poliquin,Stonington,R,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,Congress District 2 (R),Bruce Poliquin,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,Congress District 2 (R),Bruce Poliquin,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,Congress District 2 (R),Bruce Poliquin,Swans Island,R,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Tremont,R,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Trenton,R,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Verona Island,R,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Congress District 2 (R),Bruce Poliquin,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,Congress District 2 (R),Bruce Poliquin,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senator District 6 (R),William W. Howard III,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,State Senator District 6 (R),Joyce A. Maker,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,State Senator District 6 (R),William W. Howard III,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,State Senator District 6 (R),Joyce A. Maker,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,State Senator District 6 (R),William W. Howard III,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senator District 6 (R),Joyce A. Maker,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senator District 7 (R),Brian D. Langley,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,State Senator District 7 (R),Brian D. Langley,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,State Senator District 7 (R),Brian D. Langley,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,State Senator District 7 (R),Brian D. Langley,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,State Senator District 7 (R),Brian D. Langley,Brooklin,R,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,State Senator District 7 (R),Brian D. Langley,Brooksville,R,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,State Senator District 7 (R),Brian D. Langley,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,State Senator District 7 (R),Brian D. Langley,Deer Isle,R,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,State Senator District 7 (R),Brian D. Langley,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,State Senator District 7 (R),Brian D. Langley,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,State Senator District 7 (R),Brian D. Langley,Franklin,R,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,State Senator District 7 (R),Brian D. Langley,Frenchboro,R,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,State Senator District 7 (R),Brian D. Langley,Hancock,R,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,State Senator District 7 (R),Brian D. Langley,Lamoine,R,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,State Senator District 7 (R),Brian D. Langley,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,State Senator District 7 (R),Brian D. Langley,Mount Desert,R,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,State Senator District 7 (R),Brian D. Langley,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,State Senator District 7 (R),Brian D. Langley,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,State Senator District 7 (R),Brian D. Langley,Sedgwick,R,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,State Senator District 7 (R),Brian D. Langley,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,State Senator District 7 (R),Brian D. Langley,Southwest Harbor,R,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,State Senator District 7 (R),Brian D. Langley,Stonington,R,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,State Senator District 7 (R),Brian D. Langley,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,State Senator District 7 (R),Brian D. Langley,Swans Island,R,Swans Island,64,19,115,118,0.2,0.36,0.37
